phrase_designator,melody_pitches,measure,melody_rhythm,lyric
Aa,35 33 31,0,0 4 5,"rest-less, my"
Aa,35 33 31,1,-1 4 5,"lips wet, I'm"
Aa^,36 35 33 28,2,-1 4 5 7,drifting in sapce
Aa,35 33 31,4,0 4 6,she sips in-
Aa,35 35 33 31,5,-1 2 3 5,"oc-u-ous, my"
Aa^,36 36 35 33 28,6,0 2 3 5 7,friends are mere-ly shapes
Aa,33 35 33 31,8,-1 0 8 10,I can't feel my
Aa,35 33 31,9,-1 8 10,bo-dy just
Aa^,36 35 33 28,10,-1 8 10 15,heat in its place
Ba,33 35 33 31 30 26,12,-1 0 8 10 15 17,I can't feel my bo-dy
Bb,35 35 33 31 30 28,14,-1 0 8 10 13 17,"Don't laugh, don't get ang-ry"
Ba^,35 36 35 31 30 26,16,-2 0 6 12 14 18,Just sink beer be-side me
Bb^,38 38 38 36 35 28,18,-2 0 6 8 15 16,I need to know her name
Aa,35 33 31,20,0 8 10,"toi-ling, a-"
Aa,35 33 31,21,-1 8 10,"voi-ding, no"
Aa^,36 35 33 28,22,-1 8 10 15,ma-king mi-stakes
Ca,26 28 31 31 31 33 33 33 35 33 31,24,1 2 3 4 6 7 9 10 11 14 15,I close my eyes and pitc-ure the pier_
